"","logFC_limma","P.Value_limma","logFC_edgeR","FDR_edgeR","log2FoldChange_DESeq2","padj_DESeq2"
"Lat2",-1.26731908935253,1.12859165348296e-05,-1.29244923457927,1.36884563169564e-15,-1.30489550850707,5.78912432051015e-18
"Coro2a",-2.77469495948346,5.29956031849285e-05,-2.7549629271526,1.7376636819115e-15,-2.76886763928249,7.98555289978975e-18
"Map3k15",6.10800289453143,0.000689372124844966,5.32118031629275,5.69156194250209e-15,5.31197384176125,8.72385059451258e-18
"Klf10",-2.06540888047011,1.81221343489182e-05,-2.02577702107929,3.14448177878911e-16,-2.03922226431613,1.09795471849812e-17
"Tyrobp",-3.08214308917495,0.000108005454393551,-3.01695726980725,8.53587053135499e-18,-3.02964821499974,1.94213781064977e-17
"Ifit1bl1",2.41600758957315,1.81578125488651e-05,2.32555103138124,6.02197360885161e-19,2.31342768364293,3.02500960150992e-17
"E330020D12Rik",1.55241608998687,1.36896422749326e-05,1.54293574351695,6.12287873379337e-18,1.53002205350045,4.35605260134199e-17
"B4galnt1",-1.48092209171133,2.39163795304424e-05,-1.47529829410256,9.84214684264114e-17,-1.48855557260854,5.50547261039816e-17
"Slfn1",2.59262261653434,4.1880021105763e-05,2.63735267922201,2.27140021472913e-17,2.6251183742215,1.30953385518348e-16
"Vars",1.43591544000704,2.09202071072406e-05,1.40538359224271,1.69032949867672e-13,1.39273885831735,1.34962976078903e-16
"Il5ra",1.33487422337465,1.29645704457265e-05,1.34050635681978,4.52466936111002e-15,1.32783807077054,2.03774326291876e-16
"Acly",1.21942761365896,1.21513721404778e-05,1.22123861996346,3.58862484173714e-14,1.20880335139501,2.56308642757519e-16
"Gng12",-2.76676526284262,7.63636313208741e-05,-2.75663928231889,2.07317515743815e-12,-2.77080390426528,2.98240230200328e-16
"BC035044",-4.29143017959283,0.000136490391401908,-3.95236135945791,1.51951408812153e-14,-3.96738343267584,3.14469288648836e-16
"Hspa2",1.86283795146343,1.93316127887399e-05,1.86005923193647,2.07022631702583e-14,1.84794441000507,5.68840793526458e-16
"Wls",1.6814383734428,1.60089190501773e-05,1.67365613779109,5.28732388423194e-15,1.66120763759783,5.86517934295549e-16
"Fras1",4.03656372890539,7.45795919119531e-05,3.76962141632368,1.62337168356765e-14,3.75880859980416,6.84349831207408e-16
"Pepd",-1.20316168565709,3.53562794600042e-05,-1.22987461585023,6.86486988246132e-13,-1.24253645442286,7.47768883819517e-16
"Plaur",-5.32127446211491,1.21927238114733e-06,-5.15543138698139,1.728682090873e-50,-5.16606797453018,8.37118028741787e-16
"Sidt1",3.32945415399874,0.000181617964294865,3.30684225828584,2.29883520896058e-13,3.29748501714456,1.07411159803987e-15
"Fzd6",-5.78970998839122,0.000646146177918181,-5.83418507547087,5.28732388423194e-15,-5.8783039076253,1.52596458165608e-15
"Csf2rb",-1.2781070567346,1.68809953745304e-05,-1.2678997201036,3.72056656726923e-14,-1.28038247912123,1.698231191637e-15
"Sec24d",2.24418955490268,3.86477811969451e-05,2.2640575014008,4.82387017678117e-14,2.25133594893218,1.83761952462473e-15
"Nacc2",1.72835813065609,4.04252685306437e-05,1.76924283478314,5.13036692730969e-17,1.7560987442267,2.29076332620067e-15
"Atxn1",-1.64811901103216,5.39761987047785e-05,-1.71008347922645,1.25765126990572e-15,-1.72230348631032,2.53253759724243e-15
"Pgpep1",-1.81949227451786,0.000123009381749332,-1.85065810611906,3.2294876126145e-16,-1.86295156298291,2.70091514837638e-15
"Lrrc56",2.96206176898381,8.3224170834577e-05,2.96691278011757,7.50998558858617e-12,2.95656923857637,2.86433605175645e-15
"Golm1",-3.75232036445115,0.000290775078525223,-3.74928048647586,2.70139339717714e-13,-3.76689069950633,3.48950145390498e-15
"Ppl",-4.40336642674353,0.000448795132128173,-4.35726291057346,3.28196652388954e-13,-4.37876737428204,4.13661343779383e-15
"Ccr7",-1.34245489847944,2.7926920771564e-05,-1.33359773649396,3.65759765789562e-14,-1.34659957576814,6.87698268126002e-15
"Xdh",5.01225383850445,0.000317044218769187,4.85963105068205,1.01153432771721e-13,4.85894835685522,7.41982522389691e-15
"Tubb6",-1.18122913977831,2.60294532544027e-05,-1.18603890245368,6.90313331991402e-12,-1.19877246912677,7.62859714138193e-15
"Plek",1.27591715878396,1.63457485709108e-05,1.27115131034088,4.70250618747731e-14,1.25854603596554,7.62859714138193e-15
"Erp29",1.17338762324595,1.66502749099073e-05,1.14170351600091,3.69346762785226e-12,1.1287256919193,9.19428738650572e-15
"Fgd2",-1.18387577047889,3.67125937191922e-05,-1.23023124669651,1.25972473340075e-11,-1.24333151446391,1.05261863017424e-14
"AI607873",-5.35394321693356,0.000767173032158993,-5.07191792537544,2.10609274389668e-14,-5.0996249619001,1.06234097316369e-14
"Sgk3",1.33251621974724,1.66214633027298e-05,1.32630088144747,5.28719956113131e-14,1.31395855000522,1.57569038896693e-14
"Serpinb1a",1.59050548987653,3.72408860018767e-05,1.61757821851522,2.9930354635745e-16,1.60470886913753,1.64178497155163e-14
"Ccr9",-4.69454397266632,0.000329582997391783,-4.40147717685202,4.73866406775843e-13,-4.41935140912597,1.72666416593992e-14
"Ltb",1.01543315013816,1.79209573082226e-05,0.985302460241474,1.06524681695796e-07,0.972765744856914,1.85102131729686e-14
"Fah",1.57877754893722,2.45527156143703e-05,1.60479937227489,6.730901450667e-14,1.59228304694263,1.88458135308089e-14
"Ehd1",1.46833121403144,2.46431792870345e-05,1.49377881404129,3.24317838404191e-15,1.4812202400433,2.08357825390567e-14
"1700017B05Rik",-1.88347200375796,5.50352535484648e-05,-1.90774731484132,1.22988522836753e-12,-1.92029866278028,2.23907724520977e-14
"Tep1",-2.01095834264612,5.21681182054337e-05,-2.02810842076918,4.882945944266e-13,-2.04048469318142,3.27088033145271e-14
"Rcn3",1.27340647525275,2.21770609404689e-05,1.2828283876607,4.81836169980392e-14,1.2703341680678,3.42687118867472e-14
"Ppm1h",-5.48095762577059,0.000874314403989119,-5.01804247999102,7.38645352145534e-14,-5.04179734501052,3.5715817432995e-14
"Cpm",2.39935013721942,0.000101904802024354,2.47675859554801,8.00938637669024e-12,2.46371416958874,4.76628430942029e-14
"Gimap3",1.06705977862881,1.14018866880866e-05,1.01776523196694,9.56851581238815e-08,1.00514397385779,4.82959494589321e-14
"Ctsc",-1.00122972169452,2.54938791850891e-05,-1.01723276024249,2.71896846886105e-09,-1.02987293550039,5.12987468545836e-14
"Syt11",2.18273692688935,4.69183489545975e-05,2.20005688609887,1.83589565577528e-12,2.18736530211822,5.49881649238345e-14
"Dlc1",6.73184795842629,0.000660278111402786,6.66397733610855,5.69156194250209e-15,6.71657669140181,5.98640733114156e-14
"Csrnp3",6.02746706063876,0.00078205120725469,6.09096173062156,1.27083245976008e-13,6.12160703383451,6.1934659288002e-14
"Ggh",-4.72945465316733,0.000333547058556738,-4.3906247747013,1.07849550734973e-12,-4.40658250960577,7.14955032388404e-14
"Cbfa2t3",-1.46529257342682,5.41045337924258e-05,-1.44436266027266,2.89569094198539e-14,-1.45753083932628,7.7183425183694e-14
"Cd209a",-10.9151589342795,0.000544215152018811,-11.1368451242621,5.21040070544291e-76,-11.4425866562624,1.0802779267162e-13
"Irf8",1.36405770883908,3.69139683293493e-05,1.3452993102649,9.35924282898003e-14,1.33296483075881,1.18102901325149e-13
"Ifnar1",-1.47427113963457,6.71045049819257e-05,-1.50609060917426,1.69521922715939e-14,-1.51813299069945,1.26144146903081e-13
"Trf",-3.35300525317005,0.000855898684528485,-3.3031351936073,1.2331608202477e-12,-3.31713905729923,1.35251401348433e-13
"Selplg",-1.16428093149067,3.16493765811729e-05,-1.15262460043906,3.20650193411804e-12,-1.16535680707451,1.49858529186075e-13
"Asrgl1",1.78229499166163,3.33122329738354e-05,1.78252865833192,1.05581156754749e-12,1.77007556211827,1.87858067574808e-13
"Pla2g16",1.69939137302143,2.99895499802173e-05,1.70428193059816,3.40038376640905e-12,1.69215258375532,1.89048378837151e-13
"Kcnj1",5.5288962829429,5.57589879026414e-06,5.48561202849746,8.0629947339726e-47,5.49412184284725,1.89048378837151e-13
"F12",4.12511395289361,0.00053763753801547,4.04022316835699,1.34752100111424e-11,4.03384065515865,2.01700284773575e-13
"Sfr1",1.06489417898053,2.15765972924224e-05,1.04269474292839,1.20796011601974e-10,1.02989760423681,2.2734758664329e-13
"Hist1h2bc",-2.04377092219374,5.84769598272945e-05,-2.01960838869121,3.28478400924075e-13,-2.03215926504842,2.90762880321685e-13
"Sp140",1.20738476388378,2.33413676072354e-05,1.20681254059473,5.10291182221244e-13,1.19406917247724,3.01150876715422e-13
"Ncf4",-1.09619549136119,3.22861293467642e-05,-1.10692817972712,1.65567772850748e-11,-1.1193711928446,3.03634638167056e-13
"Fosl2",-4.14125823866465,0.000850024487524649,-4.14519209771103,1.37400794186859e-11,-4.16639270081228,3.51532997072233e-13
"Trim40",3.16936026479591,0.000179535498149036,3.17917244897839,2.44191429574024e-11,3.16829063022048,3.78081217972147e-13
"B4galt5",-1.2521629166797,9.59793846381519e-05,-1.29104303768778,1.32199338346651e-11,-1.30346532133156,3.88523436714565e-13
"Grn",-1.58390026599739,7.77297976556996e-05,-1.5580395645035,5.17812732749999e-14,-1.57161832918157,4.10141926841986e-13
"Dgke",-1.65711189295947,4.70122877900752e-05,-1.65950449512445,6.90313331991402e-12,-1.67186858281672,4.10472001212201e-13
"Tnfaip8",1.46236971479533,2.92550835190097e-05,1.44329548048443,5.28934290728847e-14,1.43116230257119,4.35206277062165e-13
"Gimap4",1.23076174470976,3.72292888554983e-05,1.15011804568807,2.93544111689791e-09,1.13719397505927,5.10417189823924e-13
"Ptp4a2",-1.1323733947692,0.000161176275303331,-1.18106114497921,9.49113871449561e-09,-1.19316909031282,8.56584894269777e-13
"Cyp4f16",-3.97970458281233,0.00925522846862317,-4.1588446134361,1.65567772850748e-11,-4.17500932304533,8.88080276961014e-13
"Fam129c",-1.66270174982446,4.05968820552378e-05,-1.64863412609118,5.36078899514439e-12,-1.66091297379648,8.89990516583147e-13
"Pqlc3",-1.46721376799781,5.53387076407185e-05,-1.47795389428689,1.51772887890415e-13,-1.49011640648026,9.24618082522629e-13
"Adora2a",-1.39217667680593,4.15281555975035e-05,-1.37456019393238,3.07606433831759e-12,-1.38749059115196,9.59172927874058e-13
"Anxa1",-3.67239418595125,0.000467133663463861,-3.71636092797195,1.16487087282666e-10,-3.73449705620816,9.89139160238038e-13
"Xlr3b",-4.41567956710769,0.000642916033147679,-4.36961912719435,2.58294081043626e-11,-4.39259607946277,9.96711582487289e-13
"Fbxw13",-3.18444635569735,0.000112486150107852,-2.9710596591719,8.6740769576888e-13,-2.98573671867029,1.03058384024942e-12
"Sfn",-1.59855904255878,0.00011175597600609,-1.59228365439739,6.3917979224773e-14,-1.60518431593438,1.07646241761432e-12
"Cd72",1.43591331514188,3.35228126809156e-05,1.46330728294743,4.36591991311736e-11,1.45073718646991,1.22121627450936e-12
"Prss23",-10.1165570542291,0.000407151402672577,-12.1573522714808,7.44116753565692e-36,-11.4648797030019,1.24097635539538e-12
"Fkbp4",-0.950433629818948,4.62477041340254e-05,-0.977987025248291,2.14925311697434e-09,-0.990772955976228,1.28474147707245e-12
"Gpr146",-3.26681407939979,0.000322005347996209,-3.27600954013287,7.49045813161531e-11,-3.2911327325223,1.46814623108736e-12
"H2-DMa",-0.883812601551115,6.01751158351276e-05,-0.947057473097384,7.20048090480681e-08,-0.959517822181775,1.53741178881174e-12
"Klhl41",2.5492048888101,0.00010186151108546,2.60460224211366,2.10441151985516e-11,2.5919315080219,1.58432312170487e-12
"Mppe1",1.31085671874426,3.31057199492643e-05,1.3185532995517,9.28321836805245e-12,1.3058916930806,1.984510669083e-12
"Cd86",1.35442299139896,3.51198683627864e-05,1.36784554326644,1.97894572350379e-12,1.35538618788625,2.12610885202122e-12
"Dhrs3",-2.13263136294082,0.000528917423469707,-2.20812890252682,2.15223652999824e-12,-2.22078656119846,2.69489980632575e-12
"Arhgef3",1.09256517390733,3.53019721256398e-05,1.08308307583765,3.48864927158054e-11,1.07062410004052,2.75640684737375e-12
"Tmem176a",-2.75406347563174,0.000286371092667002,-2.7493389150917,6.42772642289659e-10,-2.76333817293813,2.91652300650209e-12
"Gimap1",1.00822357611448,2.8942325355188e-05,0.965542769637733,2.70863575893867e-08,0.952625541176409,3.05490847609469e-12
"Gm6377",2.44767845446954,0.000235097102529485,2.49589950448416,1.0480332758087e-10,2.48435797032315,3.95912289909547e-12
"Osbpl9",0.978630858187641,4.68482594636762e-05,0.965970949500687,1.49006140069331e-08,0.953098832835335,4.01199553105476e-12
"Tmem55a",-2.7466393314889,0.000170666104997285,-2.69832852039923,1.06602315961115e-09,-2.71335622907652,4.61296734543679e-12
"Susd3",-1.50902668890089,8.79313968595496e-05,-1.4895040178867,6.10287336504243e-13,-1.50286743583263,4.80289483773033e-12
"Dmxl2",2.13830860126294,6.5254338191409e-05,2.13097834878379,6.39774717296602e-10,2.11960820648428,4.95465247612495e-12
"Gas7",-1.13268302462797,0.00108034374743098,-1.40973296307346,1.19073638484443e-07,-1.42172366998266,5.10794258921184e-12
"Ctse",1.13215766231898,4.16928911416755e-05,1.09998394585411,1.13821748167654e-10,1.08752301952028,6.02295281389959e-12
"Gm10714",5.18721239329212,0.000822162578199548,4.71860011606857,2.46809553591872e-11,4.71226130116109,8.07423397324033e-12
"Pdlim3",3.74358645395191,0.000383162465795186,3.77424981156948,2.22063477989271e-10,3.76684321829741,8.63157720036912e-12
"Kmo",-7.34215844175452,0.00171598832233997,-6.37968806269012,7.45075603967319e-13,-6.43881673445614,9.78815932583178e-12
"Myo1e",1.02478475349534,3.65602757365e-05,1.03016365699699,1.86308512681904e-10,1.01740523660719,1.04700583515616e-11
"Amz1",-3.08788381192737,0.000141358055708223,-2.92971234831654,1.79285529767069e-10,-2.94499950440564,1.16245981425167e-11
"Ccnd3",-1.02252966161936,4.27146182038297e-05,-1.01701888102977,6.80690470264204e-10,-1.02972250217336,1.21980602532794e-11
"Pdcd1lg2",-1.9718427492038,9.35357537716443e-05,-1.95656294462653,1.64162439706505e-09,-1.97002797694239,1.32776077069108e-11
"Nap1l1",0.995054881579668,4.51225221194476e-05,1.00657718096444,8.28635407359586e-10,0.994069617163101,1.63006737495385e-11
"Cask",2.77987767668791,7.72797370634425e-05,2.64265819284097,1.79866111575093e-10,2.63174793489268,1.75081023987735e-11
"Irf1",1.17857307490431,4.66667226865182e-05,1.18397030482711,1.04105374815858e-11,1.17100677445715,1.82378125494996e-11
"Slc17a9",-2.83912159757937,0.000147940299417028,-2.69712341151196,1.86119490071269e-11,-2.71169834205026,1.82658227636119e-11
"Zbp1",1.55062033777895,8.11806376910502e-05,1.57982574072186,9.06296920397060e-12,1.56749515870806,2.27935837391811e-11
"Hsh2d",-3.26119254806299,0.000408796220490128,-3.25732374016066,4.76291261667769e-10,-3.27360949771123,2.40744407845538e-11
"Cfap53",5.27618504603479,0.000715440691128152,4.72471508702591,6.61428802674497e-11,4.71754295018133,2.40744407845538e-11
"2410006H16Rik",1.67157346844873,7.64655128215531e-05,1.69732409167176,2.52159498293662e-11,1.68469255016263,3.32133360797265e-11
"Rabgef1",1.28063875049651,3.95199450630053e-05,1.27382445193051,7.08924872402474e-11,1.26148560499411,3.34797569115373e-11
"Dcbld2",7.44339137175237,0.00212747151048818,7.05171441238156,5.21973232729793e-13,7.14030066526451,3.58971625974973e-11
"Aicda",-3.06628875288543,0.000377000710197193,-3.06676326765699,7.26884319093471e-10,-3.08257437110013,3.67435365285411e-11
"St8sia6",1.63680949159625,6.84430826011626e-05,1.63112776921116,4.98854522056855e-11,1.61923617500523,3.73685921635613e-11
"Cyp4f18",-0.863903370286858,6.70201204999874e-05,-0.903688874514699,2.86589066169151e-06,-0.916029330398325,3.83727473030963e-11
"Acp5",-0.960958803807676,8.63992629881974e-05,-0.970495813230514,7.05997010367603e-09,-0.983438339480332,3.83727473030963e-11
"Rcl1",1.47713778852827,6.09794022588816e-05,1.50183874684972,3.27827837780138e-12,1.48897877075146,3.9554761892954e-11
"Fcrl1",1.27353996214398,4.75208733214813e-05,1.289614682056,3.87299574057968e-11,1.27708140932437,3.97929774842299e-11
"Lrrc58",-1.4806038824174,0.000325045152424772,-1.52039427480428,4.47547340668387e-12,-1.53262163537165,4.25073881537031e-11
"Eps8",-3.85147394143757,0.000920681407804865,-3.66658068960746,9.53556623035139e-11,-3.68331855263303,4.53368755967131e-11
"Pqlc1",-2.10386176144024,9.22637771341183e-05,-2.05565993400015,8.23641181704685e-12,-2.0679031330117,4.53534392658096e-11
"Sema4b",-1.85234323105407,0.000401238611042356,-1.86513325792486,6.03320393354765e-12,-1.87793369125568,5.20472995099946e-11
"Ifit3",2.08002851859133,0.000106303989358269,2.10904520715319,9.49113871449561e-09,2.09697057295075,5.85827063540082e-11
"Hspa1a",-4.46177615524243,0.00810045369556285,-4.52178311443643,2.29068372575378e-10,-4.54622838086099,6.5082853606568e-11
"Dnajb1",-0.966779950871445,5.45156339943211e-05,-0.971906242093509,3.76934878567637e-09,-0.984339665593958,6.99656727336342e-11
"Edaradd",-3.43005840715578,0.000902300230930424,-3.41398494017223,4.89617610926186e-10,-3.42767533020287,7.15097815835644e-11
"Gimap6",0.878011369190423,3.39068413587806e-05,0.815406966368479,2.10385232294936e-05,0.802716137376922,7.16175541147882e-11
"B4galt1",-1.44560184938504,0.000296467748690073,-1.4948166575461,1.02423632998872e-11,-1.5071830520028,7.26116646431591e-11
"Ppfibp2",-2.11661277186636,0.000121513877466777,-2.0946222106443,2.28759288986477e-08,-2.10827649101491,7.36205393396013e-11
"Pik3cd",-1.14656407932959,5.40782105882863e-05,-1.13059060485537,4.66667155775971e-10,-1.14348210164515,7.61099048307617e-11
"Tmem181b-ps",-1.63286049540468,0.00047104960725712,-1.68585403600844,5.36078899514439e-12,-1.69761264187523,7.90660663072535e-11
"Arl4a",-2.60466224458789,0.000467032145941247,-2.59650160102552,9.38276911182614e-09,-2.61089348667075,1.00325606286019e-10
