"","logFC_limma","P.Value_limma","logFC_edgeR","FDR_edgeR","log2FoldChange_DESeq2","padj_DESeq2"
"Neurl4",0.53822724707112,0.19872573588825,0.671019754298615,0.488994295915458,0.671573304658516,0.437978808162332
"Pla2g6",-0.560442328836294,0.13094510895115,-0.59199370346704,0.516012177696073,-0.592275436459072,0.438276887368053
"Lipe",0.354355906171016,0.120198719670188,0.382039911641475,0.540016493001548,0.381856536048024,0.438276887368053
"Usp7",-0.459716416649696,0.0934914770439641,-0.455931241084453,0.529917405014454,-0.456265129975526,0.43848580679395
"Fbxo42",-0.444088394928655,0.0975268771649408,-0.456129437902206,0.544418345575099,-0.456633748075991,0.43848580679395
"Slc38a9",-0.252767550969055,0.0789112229322304,-0.243185948462049,0.50394138123868,-0.243734270739704,0.438530366987746
"Nudt18",0.338060311745163,0.0746875342854518,0.316857542986013,0.552909471815967,0.316214150000222,0.438530366987746
"Atpaf1",0.340755759581877,0.0830597799644621,0.328970937300453,0.537122191386614,0.328417805253035,0.438530366987746
"Abl2",0.77010115082443,0.0763642859012545,0.779160446910371,0.517882419887552,0.778995475051079,0.438530366987746
"Psme4",-0.928593449892634,0.0593111651698507,-0.799263444680856,0.488994295915458,-0.799607231334316,0.43855663312655
"Srp68",-0.218987096018108,0.0791903883358707,-0.209696212036225,0.483350145041301,-0.210205305568001,0.438570376248014
"Med16",0.63265541066314,0.111455144370442,0.650160438361369,0.494473078468187,0.649370704536529,0.438570376248014
"Glrx",0.525452832415676,0.0830272299167766,0.509202238568437,0.534363311376161,0.508779168463756,0.438820986372063
"Chmp2a",0.197962229750209,0.0860989669112173,0.193502006610276,0.450284510591346,0.192934971978383,0.438820986372063
"Fem1a",0.383370822316967,0.0942622515058476,0.357773425650944,0.531211964502951,0.356871945266327,0.439393151082143
"Vrk2",0.670097079940942,0.0743652226542062,0.603030679017361,0.511356829786301,0.602076308371356,0.44027044086653
"Cd84",0.228560156133478,0.107677741866585,0.242718330084595,0.491339550268229,0.242133639338817,0.440293027466029
"Tec",-0.321063114103613,0.102862787345754,-0.315119826852786,0.489456325274606,-0.316036634444122,0.440485293050639
"Prob1",4.22993640109319,0.0251098583053416,2.44178776170494,0.468539939437248,2.45285182141107,0.440485293050639
"Immp2l",0.446390363447464,0.0821493821948005,0.430360537489113,0.530602463738529,0.429798784648476,0.440485293050639
"Ern1",-2.06437047856895,0.0869312966475727,-2.20766272661583,0.439411267764864,-2.22149273543337,0.440485293050639
"Egln2",0.112615554548334,0.172417685699148,0.146041848454728,0.605560335070654,0.145549604866827,0.440485293050639
"Clp1",0.250732431035503,0.0949193476572412,0.258761207292634,0.560803032186893,0.258297201908602,0.440485293050639
"Ints4",-0.216820851374845,0.103963830396013,-0.205548186251773,0.450386259167638,-0.205898733965229,0.440493295110176
"Gpt",-1.43313708357427,0.0823785829257683,-1.46650366842834,0.506475357818235,-1.47084960290059,0.440493295110176
"Dennd6a",0.251674484412555,0.111795011424529,0.268055190672711,0.497516832336795,0.26769776788711,0.440493295110176
"Bcat2",-0.43287966997546,0.167585890748215,-0.471850548933178,0.535881721209477,-0.47300625347511,0.440493295110176
"Tspyl1",0.148373141932432,0.139236684162296,0.172709949826676,0.467159960557986,0.172217457427657,0.440923809071393
"Arrdc2",1.40451493729858,0.0732176336935151,1.30757611212705,0.50988579049905,1.30990417814557,0.440923809071393
"Slc38a2",-0.368482285446551,0.0834775767935528,-0.350912250235765,0.532529175070962,-0.35120569422771,0.441479044507236
"Dok2",-0.585999258020458,0.0835457413844453,-0.593366858648958,0.510649754440115,-0.594056411042144,0.441479044507236
"Clasrp",0.40460931433221,0.0920408292665263,0.384837637882228,0.534363311376161,0.384371513282994,0.441479044507236
"Pkib",0.816102172798011,0.132921176820043,0.867042478450595,0.504636922870821,0.866344305523604,0.441594080673998
"Usp10",-0.25861750873309,0.0965519384971411,-0.264762514478983,0.568404916500874,-0.265279145907186,0.441748734332769
"Cxcr3",5.826853957978,0.00488372292986625,4.08159454669641,0.00777300206110325,4.10005499764095,0.441748734332769
"Adam17",-0.460309972958077,0.0874820325387462,-0.40099689588687,0.530931964788702,-0.400959328184554,0.441753440126266
"Cxxc5",0.266213679163151,0.0923661816392261,0.26813859313373,0.553565510158303,0.267722081147574,0.442666659728809
"Ext2",0.320758025659075,0.098971772513269,0.308235994585895,0.528884551951235,0.307597703730694,0.44309370890498
"Mtg2",0.380094593044607,0.115688217142989,0.381448621589319,0.519844325594985,0.381413609127226,0.443100362145174
"Cnih4",0.287086456961996,0.0915433849021505,0.290141829446506,0.571297741939233,0.289733961127646,0.443585074577153
