"","logFC_limma","P.Value_limma","logFC_edgeR","FDR_edgeR","log2FoldChange_DESeq2","padj_DESeq2"
"Prmt7",0.368949654164981,0.0848446539895298,0.418423953529131,0.318593342348102,0.424452073639014,0.283359985481626
"Fes",0.624980988790215,0.0207884785433346,0.586119730553227,0.375337446983551,0.591446594621814,0.283359985481626
"Dpy19l3",-1.09108050210345,0.0539926427935734,-1.18960640703215,0.314389906897395,-1.18499218930011,0.283359985481626
"Becn1",0.145825382286139,0.170043695291633,0.228210999329875,0.332976793047677,0.233443300046219,0.283359985481626
"Tango2",0.432974488588513,0.0254335243016555,0.403227182612145,0.368796355131028,0.408581212779559,0.284118305424816
"Ext2",-0.508047882220883,0.0733553206606369,-0.513000045312819,0.322718650312029,-0.506875682751936,0.284118305424816
"Sit1",-1.09628300427402,0.0537199980943982,-1.21105991136381,0.320124448514694,-1.20611414603988,0.285420495721103
"Mcoln3",-2.58267554225148,0.0607198572993188,-3.05869234382068,0.245781260104134,-3.08651577628892,0.285686448127031
"Kdm5c",-0.447506041099087,0.0483286899656837,-0.470173783187237,0.347894713662082,-0.46524945853661,0.285686448127031
"Kcnj5",-1.67219982097907,0.0631720950399174,-1.87029083471714,0.314234353037367,-1.86911957985367,0.285686448127031
"Baiap2l1",-1.12571829942108,0.0720857691210305,-1.3022658384179,0.318394147069625,-1.29801439040337,0.285686448127031
"Rrp7a",0.176800401802224,0.121497484377288,0.235828652020899,0.315157062514727,0.240981480704721,0.28571331403289
"Rab11a",0.237796380459977,0.0691541267288858,0.281118088253741,0.322956202797822,0.286434569099492,0.286342483536991
"Rnf13",-0.305218674868063,0.0445954459032506,-0.271082804887132,0.275887081025594,-0.265929352031378,0.286560160919545
"Atf6",0.60287743063884,0.0403330683759054,0.556474964028711,0.359363414904564,0.560733475870652,0.287820592416713
"Aars",-0.416799234618408,0.0440173902484252,-0.44453957541171,0.347597922321893,-0.439235425580156,0.289219807820335
"Slc5a3",-0.433416127107231,0.0466435051891264,-0.452226965345346,0.339974523573876,-0.447686662425455,0.289526496413762
"Rad23a",0.265772798719681,0.0668983861564074,0.304690239339852,0.332988858123165,0.309549775730854,0.289526496413762
"Mrpl33",0.44992286494167,0.0274099756055015,0.426345823796155,0.364326773122179,0.43185298042527,0.289526496413762
"Lmo7",-0.66662207352714,0.0470687943915305,-0.705003701413361,0.337720531908304,-0.699707493150138,0.289526496413762
"Lcmt1",1.05281432657369,0.024665453122629,0.985164994469477,0.324246186761843,0.991759825842343,0.289526496413762
"Alpk3",1.95691764665826,0.0196130776977247,1.72713109454628,0.341460401211793,1.73588726670523,0.289526496413762
"Aacs",0.300756288464088,0.050739154307612,0.325519766271564,0.342746828877616,0.330516571152705,0.289526496413762
"Rassf1",0.385298204823306,0.0321258495064342,0.375913794498403,0.384057005844667,0.380893030259523,0.289560457152443
"Zfp647",-3.55518407806379,0.0622980296216394,-3.6778882349861,0.224848491089845,-3.73369253192643,0.289698495525423
"Tnfsf9",1.04831723666338,0.0194193444970679,0.957352626472517,0.330810826766355,0.962660504499576,0.289698495525423
"Taok2",-0.459370876078208,0.0506966567567619,-0.475621231056725,0.334245181636833,-0.471007084549889,0.289698495525423
"Rab3b",-0.460455667484384,0.0393858613961333,-0.475651174434861,0.347894713662082,-0.470181631515605,0.289698495525423
"Poll",0.573469681050464,0.0620379511205824,0.523959159108997,0.336820738612474,0.528956816827665,0.289698495525423
"Emc2",0.417678185864338,0.0340247829714579,0.408690775734328,0.364827881783018,0.414342722914307,0.289698495525423
"Utf1",-1.2373178133328,0.0544299094158588,-1.36866104751705,0.327604471296693,-1.36589200590145,0.28997188103235
"Ifngr2",0.28832169346018,0.0617100916522852,0.320132569978614,0.339833595832244,0.325356968169511,0.290341608010539
"Ppox",0.498098625452447,0.02366917714568,0.471250199146261,0.394157763451284,0.476504509224324,0.290586594803404
"Erh",0.155407574204524,0.120744551360433,0.221022255164453,0.339974523573876,0.226386337585601,0.290586594803404
